name,pronounciation
กัญจน์อมล,กัน-อะ-มน
ก่อฤกษ์,ก่อ-เริก
ก้องภพ,ก้อง-พบ
ขนบพร,ขะ-หนบ-พอน
ขวัญหทัย,ขวัน-หะ-ไท
คณพศ,คะ-นะ-พด
คมธรรม,คม-ทำ
คมสันต์,คม-สัน
จรณ์,จอน
จรรยมณฑน์,จัน-ยะ-มน
จรัสพงศ์,จะ-หรัด-พง
จักรชัย,จัก-ไช
ฉันทพัฒน์,ฉัน-ทะ-พัด
ฉันหทัย,ฉัน-หะ-ไท
ชนสรณ์,ชะ-นะ-สอน
ชนัดพล,ชะ-นัด-พน
ชนันธร,ชะ-นัน-ทอน
ชยณัฐ,ชะ-ยะ-นัด
ชยันต์,ชะ-ยัน
ชวกร,ชะ-วะ-กอน
ชวัลกร,ชะ-วัน-กอน
ชวัลลักษณ์,ชะ-วัน-ลัก
ชัยยศ,ไช-ยด
ฐปนนท์,ถะ-ปะ-นน
ฐปนัท,ถะ-ปะ-นัด
ณฐพงศ์,นะ-ถะ-พง
ณภัทร,นะ-พัด
ณหทัย,นะ-หะ-ไท
ณัชพล,นัด-ชะ-พน
ณัฏฐพรรณ,นัด-ถะ-พัน
ณัฐปพน,นัด-ปะ-พน
ณัฐพงศ์,นัด-ถะ-พง
ณัฐพัชร์,นัด-ถะ-พัด
ดนตร์,ดน
ดลพร,ดน-ละ-พอน
ตรัณ,ตะ-รัน
ถลัชนันท์,ถะ-ลัด-ชะ-นัน
ทรงอัปสร,ซง-อับ-สอน
ทักษพร,ทัก-สะ-พอน
ทักษ์ดนัย,ทัก-ดะ-ไน
ทัตพงศ์,ทัด-พง
ทัตสรวง,ทัด-สวง
ทัศน์พล,ทัด-สะ-พน
ธนชัย,ทะ-นะ-ไช
ธมน,ทะ-มน
ธยศ,ทะ-ยด
ธรณ์ธันย์,ทอน-ทัน
ธรรมสรณ์,ทำ-มะ-สอน
ธวัฒน์,ทะ-วัด
ธวัลกร,ทะ-วัน-กอน
ธวัลหทัย,ทะ-วัน-หะ-ไท
ธัชธรรม,ทัด-ทำ
ธัญญรัตน์,ทัน-ยะ-รัด
ธันยมัย,ทัน-ยะ-ไม
นงลักษณ์,นง-ลัก
นนทพัทธ์,นน-ทะ-พัด
นนทรมย์,นน-ทะ-รม
นนทัช,นน-ทัด
นพัตธร,นะ-พัด-ทอน
นภัสกร,นะ-พัด-สะ-กอน
นรรัตน์,นอ-ระ-รัด
นฤรงค์,นะ-รึ-รง
นลพรรณ,นน-ละ-พัน
นัธทวัฒน์,นัด-ทะ-วัด
นันทนัช,นัน-ทะ-นัด
บงกช,บง-กด
บรรณสรณ์,บัน-นะ-สอน
บวรพจน์,บอ-วอน-พด
บัญญพนต์,บัน-ยะ-พน
ปกรณ์,ปะ-กอน
ปณชัย,ปะ-นะ-ไช
ปภัสสร,ปะ-พัด-สอน
ปรมัตถ์,ปะ-ระ-มัด
ปวัตน์,ปะ-วัด
ปัณณทัต,ปัน-นะ-ทัด
ปัทมวรรณ,ปัด-ทะ-มะ-วัน
